esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah),source
200000929,2.02E+13,24.46,328.8,-22.5,3.66,3.649,35,28,12.83,38.59,synth
200000930,2.02E+13,65.86,347.8,-22.5,3.871,3.844,31,40,28.41,85.43,synth
200000931,2.02E+13,38.34,329.9,-22.5,3.673,3.662,29,30,14.95,44.94,synth
200000932,2.02E+13,53.70,352.8,-22.5,3.927,3.898,38,31,31.1,93.49,synth
200000933,2.02E+13,39.01,336,-22.5,3.742,3.719,33,30,21.76,65.42,synth
200000934,2.02E+13,28.74,329.9,-22.5,3.672,3.659,29,38,14.67,44.13,synth
200000935,2.02E+13,53.11,334.6,-22.5,3.726,3.706,34,34,20.65,62.1,synth
200000936,2.02E+13,69.15,348.3,-22.5,3.877,3.849,38,36,28.67,86.21,synth
200000937,2.02E+13,63.49,340.5,-22.5,3.791,3.763,37,37,24.36,73.24,synth
200000938,2.02E+13,44.53,336.4,-22.5,3.746,3.722,35,39,22.03,66.23,synth
200000939,2.02E+13,33.95,331.6,-22.5,3.69,3.677,38,27,17.24,51.84,synth
200000940,2.02E+13,53.08,334.9,-22.5,3.731,3.71,41,38,21.03,63.24,synth
200000941,2.02E+13,55.23,340.3,-22.5,3.791,3.762,38,34,24.26,72.93,synth
200000942,2.02E+13,78.03,351.1,-22.5,3.91,3.882,31,32,30.3,91.07999,synth
200000943,2.02E+13,66.37,340.2,-22.5,3.787,3.757,39,35,24.08,72.39,synth
200000944,2.02E+13,89.66,358.5,-22.5,3.989,3.96,43,36,34.04,102.32,synth
200000945,2.02E+13,34.95,333.9,-22.5,3.718,3.7,38,32,20.01,60.15,synth
200000946,2.02E+13,34.84,330.3,-22.5,3.678,3.666,39,31,15.55,46.75,synth
200000947,2.02E+13,15.23,324.7,-22.5,3.617,3.599,38,31,7.58,22.78,synth
200000948,2.02E+13,45.59,333.9,-22.5,3.717,3.7,40,32,20.04,60.25,synth
200000949,2.02E+13,65.07,347.4,-22.5,3.867,3.84,34,30,28.23,84.88,synth
200000950,2.02E+13,81.89,356.6,-22.5,3.968,3.94,43,29,33.06,99.41,synth
200000951,2.02E+13,63.27,348.9,-22.5,3.884,3.856,33,38,29.05,87.32,synth
200000952,2.02E+13,45.19,343.9,-22.5,3.83,3.801,30,38,26.34,79.18999,synth
200000953,2.02E+13,81.80,356.9,-22.5,3.971,3.943,33,36,33.19,99.77,synth
200000954,2.02E+13,86.07,357.1,-22.5,3.975,3.945,37,29,33.33,100.2,synth
200000955,2.02E+13,24.82,327.1,-22.5,3.642,3.628,32,27,9.78,29.41,synth
200000956,2.02E+13,21.61,327.7,-22.5,3.649,3.635,34,30,10.85,32.62,synth
200000957,2.02E+13,34.60,329.9,-22.5,3.673,3.66,30,28,14.71,44.23,synth
200000958,2.02E+13,32.65,330.7,-22.5,3.682,3.668,39,26,16.1,48.4,synth
200000959,2.02E+13,49.20,335.8,-22.5,3.741,3.718,31,36,21.69,65.21,synth
200000960,2.02E+13,51.22,345.5,-22.5,3.846,3.818,44,28,27.17,81.68999,synth
200000961,2.02E+13,94.13,358.8,-22.5,3.993,3.964,33,29,34.19,102.78,synth
200000962,2.02E+13,41.92,339.9,-22.5,3.784,3.753,31,28,23.92,71.91,synth
200000963,2.02E+13,67.23,351.1,-22.5,3.909,3.879,30,33,30.23,90.86,synth
200000964,2.02E+13,32.92,332.4,-22.5,3.7,3.685,36,34,18.32,55.08,synth
200000965,2.02E+13,71.24,352.1,-22.5,3.917,3.89,30,30,30.67,92.21,synth
200000966,2.02E+13,28.07,329.2,-22.5,3.666,3.654,30,36,13.68,41.13,synth
200000967,2.02E+13,29.17,327.5,-22.5,3.647,3.635,33,36,10.61,31.91,synth
200000968,2.02E+13,41.03,333.5,-22.5,3.713,3.695,30,26,19.61,58.95,synth
200000969,2.02E+13,47.64,341.1,-22.5,3.798,3.77,43,36,24.7,74.26,synth
200000970,2.02E+13,24.12,328.3,-22.5,3.655,3.642,27,27,11.83,35.57,synth
200000971,2.02E+13,26.33,329.6,-22.5,3.669,3.656,39,33,14.26,42.88,synth
200000972,2.02E+13,36.77,334.9,-22.5,3.729,3.709,34,33,20.93,62.92,synth
200000973,2.02E+13,44.08,343,-22.5,3.818,3.79,38,29,25.76,77.45,synth
200000974,2.02E+13,57.36,355.7,-22.5,3.958,3.93,38,39,32.6,98.03,synth
200000975,2.02E+13,66.24,347.2,-22.5,3.866,3.838,32,35,28.12,84.53,synth
200000976,2.02E+13,53.51,339.4,-22.5,3.78,3.749,34,39,23.66,71.12,synth
200000977,2.02E+13,30.63,331.1,-22.5,3.686,3.673,29,38,16.69,50.19,synth
200000978,2.02E+13,77.78,348.8,-22.5,3.882,3.855,33,36,28.96,87.06,synth
200000979,2.02E+13,31.87,329.7,-22.5,3.671,3.659,27,30,14.51,43.61,synth
200000980,2.02E+13,39.91,335.7,-22.5,3.737,3.715,43,30,21.48,64.57,synth
200000981,2.02E+13,49.07,333.8,-22.5,3.716,3.698,35,29,19.88,59.78,synth
200000982,2.02E+13,13.48,323.5,-22.5,3.603,3.584,34,29,6.96,20.94,synth
200000983,2.02E+13,52.49,351.1,-22.5,3.908,3.88,37,38,30.19,90.77,synth
200000984,2.02E+13,24.16,328.3,-22.5,3.654,3.642,26,36,11.69,35.15,synth
200000985,2.02E+13,37.77,329.2,-22.5,3.667,3.655,32,37,13.78,41.43,synth
200000986,2.02E+13,21.33,327.8,-22.5,3.651,3.639,30,35,11.07,33.29,synth
200000987,2.02E+13,34.86,331.4,-22.5,3.691,3.676,40,30,17.22,51.79,synth
200000988,2.02E+13,14.67,324.2,-22.5,3.611,3.592,35,26,7.2,21.65,synth
200000989,2.02E+13,56.97,351.9,-22.5,3.917,3.888,40,32,30.62,92.06,synth
200000990,2.02E+13,23.93,328,-73.70001,3.666,3.633,34,32,9.19,27.62,synth
200000991,2.02E+13,23.64,327.5,-22.5,3.646,3.634,29,25,10.52,31.64,synth
200000992,2.02E+13,42.25,339.6,-22.5,3.781,3.751,29,36,23.73,71.33,synth
200000993,2.02E+13,51.76,343.9,-22.5,3.831,3.803,42,28,26.41,79.4,synth
200000994,2.02E+13,42.21,335.5,-22.5,3.736,3.714,34,32,21.43,64.42,synth
200000995,2.02E+13,30.16,327.8,-22.5,3.65,3.638,31,32,11.1,33.39,synth
200000996,2.02E+13,48.88,336.4,-22.5,3.747,3.723,29,34,22.08,66.39,synth
200000997,2.02E+13,48.82,332.4,-22.5,3.702,3.686,39,38,18.47,55.54,synth
200000998,2.02E+13,15.39,324.4,-22.5,3.613,3.595,29,29,7.36,22.12,synth
200000999,2.02E+13,35.45,332.4,-22.5,3.702,3.686,33,29,18.47,55.54,synth
200001000,2.02E+13,32.27,331.9,-22.5,3.696,3.68,40,34,17.81,53.53,synth
200001001,2.02E+13,62.48,344.4,-22.5,3.834,3.807,32,28,26.6,79.96,synth
200001002,2.02E+13,59.24,349.4,-22.5,3.888,3.86,42,34,29.23,87.89,synth
200001003,2.02E+13,66.47,345.3,-22.5,3.845,3.817,42,33,27.14,81.57,synth
200001004,2.02E+13,56.80,341.1,-22.5,3.798,3.77,36,40,24.68,74.21,synth
200001005,2.02E+13,42.17,334.9,-22.5,3.729,3.709,41,38,20.89,62.81,synth
200001006,2.02E+13,35.51,330.3,-22.5,3.678,3.664,34,31,15.51,46.65,synth
200001007,2.02E+13,40.60,331,-22.5,3.686,3.672,37,29,16.64,50.04,synth
200001008,2.02E+13,25.16,326.7,-22.5,3.639,3.625,34,24,9.32,28.03,synth
200001009,2.02E+13,46.51,344.9,-22.5,3.839,3.812,34,28,26.83,80.67,synth
200001010,2.02E+13,66.63,354.9,-22.5,3.95,3.921,32,34,32.22,96.86,synth
200001011,2.02E+13,58.15,338.6,-22.5,3.769,3.74,36,34,23.23,69.84,synth
200001012,2.02E+13,52.02,339.7,-22.5,3.782,3.751,40,30,23.81,71.6,synth
200001013,2.02E+13,49.00,339.3,-22.5,3.777,3.747,38,28,23.58,70.9,synth
200001014,2.02E+13,56.88,352.5,-22.5,3.924,3.896,39,40,30.97,93.09,synth
200001015,2.02E+13,72.86,349.9,-22.5,3.894,3.866,38,28,29.5,88.68999,synth
200001016,2.02E+13,36.92,334.2,-22.5,3.722,3.703,32,35,20.37,61.25,synth
200001017,2.02E+13,52.53,335.3,-22.5,3.734,3.713,37,31,21.26,63.94,synth
200001018,2.02E+13,52.75,344.4,-22.5,3.835,3.808,29,38,26.65,80.11,synth
200001019,2.02E+13,13.71,325.8,-22.5,3.628,3.609,36,26,8.22,24.71,synth
200001020,2.02E+13,70.02,342.7,-22.5,3.816,3.789,32,31,25.7,77.28,synth
200001021,2.02E+13,40.50,337.4,-22.5,3.759,3.731,31,34,22.67,68.16,synth
200001022,2.02E+13,51.67,338,-22.5,3.764,3.735,29,31,22.94,68.97,synth
200001023,2.02E+13,24.77,328,-22.5,3.651,3.639,31,36,11.27,33.87,synth
200001024,2.02E+13,17.55,323.9,-22.5,3.608,3.588,31,25,7.07,21.28,synth
200001025,2.02E+13,55.64,340.7,-22.5,3.794,3.765,35,27,24.43,73.46,synth
200001026,2.02E+13,49.00,336.3,-22.5,3.746,3.722,41,28,22.01,66.18,synth
200001027,2.02E+13,21.74,328.6,-22.5,3.658,3.646,33,29,12.42,37.34,synth
200001028,2.02E+13,51.13,352.1,-22.5,3.92,3.892,44,41,30.74,92.43,synth
200001029,2.02E+13,41.75,331.9,-22.5,3.696,3.681,37,32,17.76,53.38,synth
200001030,2.02E+13,65.40,357.4,-22.5,3.978,3.948,31,33,33.47,100.63,synth
200001031,2.02E+13,29.26,329.1,-22.5,3.664,3.652,36,35,13.45,40.45,synth
200001032,2.02E+13,49.19,339.4,-22.5,3.78,3.749,34,27,23.69,71.22,synth
200001033,2.02E+13,19.05,326,-22.5,3.63,3.613,29,27,8.349999,25.13,synth
200001034,2.02E+13,27.56,329.7,-22.5,3.671,3.659,35,30,14.56,43.76,synth
200001035,2.02E+13,66.55,353.2,-22.5,3.931,3.903,37,28,31.3,94.1,synth
200001036,2.02E+13,69.55,356.9,-22.5,3.973,3.944,34,41,33.27,100.02,synth
200001037,2.02E+13,54.52,339.9,-22.5,3.785,3.754,34,34,23.96,72.03,synth
200001038,2.02E+13,16.80,324.2,-22.5,3.611,3.592,38,34,7.23,21.75,synth
200001039,2.02E+13,24.05,327.1,-22.5,3.641,3.628,32,30,9.63,28.97,synth
200001040,2.02E+13,19.65,325,-22.5,3.621,3.603,28,29,7.78,23.4,synth
200001041,2.02E+13,27.87,330.8,-22.5,3.684,3.67,41,36,16.33,49.11,synth
200001042,2.02E+13,48.28,333.3,-22.5,3.711,3.695,29,29,19.42,58.39,synth
200001043,2.02E+13,38.59,331.9,-22.5,3.696,3.681,31,27,17.82,53.59,synth
200001044,2.02E+13,46.53,331.3,-22.5,3.69,3.676,32,31,17.07,51.32,synth
200001045,2.02E+13,37.99,332.4,-22.5,3.7,3.686,40,29,18.37,55.25,synth
200001046,2.02E+13,14.04,324.9,-22.5,3.619,3.601,36,29,7.68,23.08,synth
200001047,2.02E+13,55.94,346.8,-22.5,3.859,3.832,39,40,27.83,83.66,synth
200001048,2.02E+13,31.60,329.1,-22.5,3.664,3.652,28,34,13.34,40.09,synth
200001049,2.02E+13,27.31,328.5,-22.5,3.659,3.646,26,29,12.47,37.49,synth
200001050,2.02E+13,70.17,353.9,-22.5,3.94,3.911,41,34,31.71,95.34,synth
200001051,2.02E+13,18.78,324.9,-22.5,3.618,3.599,27,27,7.61,22.87,synth
200001052,2.02E+13,25.18,328.3,-22.5,3.656,3.643,39,36,11.85,35.63,synth
200001053,2.02E+13,20.18,327.8,-73.70001,3.664,3.631,37,31,9.13,27.45,synth
200001054,2.02E+13,74.32,354.9,-22.5,3.95,3.921,31,30,32.19,96.75999,synth
200001055,2.02E+13,22.81,328.5,-22.5,3.658,3.646,37,26,12.38,37.23,synth
200001056,2.02E+13,56.06,336.4,-22.5,3.747,3.723,30,31,22.1,66.43999,synth
200001057,2.02E+13,70.39,343.5,-22.5,3.824,3.797,44,38,26.12,78.53,synth
200001058,2.02E+13,30.49,330,-22.5,3.674,3.661,36,37,14.93,44.89,synth
200001059,2.02E+13,22.54,326.9,-22.5,3.64,3.626,37,36,9.53,28.65,synth
200001060,2.02E+13,40.85,332.7,-22.5,3.704,3.689,32,30,18.8,56.52,synth
200001061,2.02E+13,15.61,323.8,-22.5,3.606,3.587,30,33,7.03,21.14,synth
200001062,2.02E+13,54.25,350,-22.5,3.896,3.869,34,41,29.65,89.15,synth
200001063,2.02E+13,60.76,343.6,-22.5,3.826,3.799,34,41,26.2,78.78,synth
200001064,2.02E+13,36.66,335.7,-22.5,3.738,3.715,30,28,21.51,64.67,synth
200001065,2.02E+13,75.02,355.7,-22.5,3.958,3.93,38,32,32.6,98.03,synth
200001066,2.02E+13,49.18,339.4,-22.5,3.779,3.749,36,40,23.67,71.17,synth
200001067,2.02E+13,16.16,324.7,-22.5,3.617,3.599,29,32,7.56,22.74,synth
200001068,2.02E+13,17.71,327.1,-22.5,3.643,3.629,35,29,9.87,29.68,synth
200001069,2.02E+13,57.31,335,-22.5,3.731,3.711,33,33,21.08,63.39,synth
200001070,2.02E+13,39.68,335.7,-22.5,3.738,3.716,30,29,21.55,64.78,synth
200001071,2.02E+13,22.28,328.3,-22.5,3.657,3.644,36,32,12.07,36.3,synth
200001072,2.02E+13,47.46,333.2,-22.5,3.711,3.693,35,30,19.33,58.12,synth
200001073,2.02E+13,36.68,330.5,-22.5,3.68,3.666,34,30,15.75,47.37,synth
200001074,2.02E+13,22.44,328,-22.5,3.652,3.639,30,25,11.4,34.29,synth
200001075,2.02E+13,17.73,325.8,-22.5,3.629,3.61,30,25,8.25,24.81,synth
200001076,2.02E+13,55.26,339.9,-22.5,3.785,3.754,29,32,23.96,72.03,synth
200001077,2.02E+13,32.92,331.7,-22.5,3.694,3.679,38,35,17.57,52.82,synth
200001078,2.02E+13,42.40,332.1,-22.5,3.696,3.681,33,29,17.89,53.8,synth
200001079,2.02E+13,57.77,338,-22.5,3.765,3.736,29,32,22.97,69.07,synth
200001080,2.02E+13,81.47,355.5,-22.5,3.957,3.928,30,39,32.54,97.82,synth
200001081,2.02E+13,37.79,333,-22.5,3.707,3.691,37,33,19.03,57.24,synth
200001082,2.02E+13,73.58,349.7,-22.5,3.893,3.865,41,40,29.46,88.59,synth
200001083,2.02E+13,46.30,345.2,-22.5,3.843,3.815,33,37,27.02,81.22,synth
200001084,2.02E+13,48.89,332.7,-22.5,3.703,3.687,34,31,18.65,56.06,synth
200001085,2.02E+13,25.27,328,-22.5,3.651,3.639,29,37,11.24,33.82,synth
200001086,2.02E+13,38.39,330.2,-22.5,3.677,3.664,35,37,15.35,46.14,synth
200001087,2.02E+13,64.16,339.6,-22.5,3.781,3.751,38,37,23.73,71.33,synth
200001088,2.02E+13,19.52,327.4,-22.5,3.646,3.633,28,25,10.28,30.91,synth
200001089,2.02E+13,41.62,333,-22.5,3.707,3.69,36,31,19.06,57.31,synth
200001090,2.02E+13,26.60,330.5,-22.5,3.68,3.667,27,34,15.82,47.56,synth
200001091,2.02E+13,34.79,332.4,-22.5,3.699,3.684,39,36,18.27,54.93,synth
200001092,2.02E+13,24.15,327.5,-22.5,3.646,3.634,34,26,10.5,31.58,synth
200001093,2.02E+13,37.35,336.3,-22.5,3.745,3.722,37,32,22,66.13,synth
200001094,2.02E+13,16.26,324.4,-22.5,3.613,3.595,34,29,7.36,22.12,synth
200001095,2.02E+13,36.25,331.6,-22.5,3.691,3.677,34,33,17.31,52.05,synth
200001096,2.02E+13,56.23,342.5,-22.5,3.813,3.786,30,39,25.52,76.72,synth
200001097,2.02E+13,41.23,331.4,-22.5,3.69,3.676,28,29,17.1,51.42,synth
200001098,2.02E+13,29.11,328.8,-22.5,3.66,3.648,37,33,12.71,38.23,synth
200001099,2.02E+13,36.08,334.9,-22.5,3.729,3.709,36,38,20.91,62.87,synth
200001100,2.02E+13,49.20,340.7,-22.5,3.793,3.764,36,36,24.42,73.41,synth
200001101,2.02E+13,45.00,334.9,-22.5,3.729,3.709,36,39,20.93,62.92,synth
200001102,2.02E+13,59.19,357.1,-22.5,3.975,3.945,41,41,33.33,100.2,synth
200001103,2.02E+13,50.85,333.6,-22.5,3.713,3.696,37,29,19.59,58.9,synth
200001104,2.02E+13,26.42,327.4,-22.5,3.646,3.633,30,32,10.28,30.91,synth
200001105,2.02E+13,41.49,333,-22.5,3.708,3.691,29,37,19.08,57.35,synth
200001106,2.02E+13,25.43,327.2,-22.5,3.643,3.629,33,30,9.95,29.93,synth
200001107,2.02E+13,68.35,358.6,-22.5,3.991,3.961,34,36,34.1,102.52,synth
200001108,2.02E+13,35.99,329.1,-22.5,3.665,3.651,29,37,13.4,40.29,synth
200001109,2.02E+13,20.82,326.3,-22.5,3.634,3.616,39,26,8.639999,25.99,synth
200001110,2.02E+13,31.33,328.2,-22.5,3.653,3.642,34,31,11.65,35.05,synth
200001111,2.02E+13,21.47,327.4,-22.5,3.645,3.633,27,32,10.33,31.06,synth
200001112,2.02E+13,29.29,330,-22.5,3.674,3.661,36,31,14.98,45.04,synth
200001113,2.02E+13,38.00,333.2,-22.5,3.708,3.692,28,29,19.16,57.6,synth
200001114,2.02E+13,33.26,329.6,-22.5,3.67,3.657,33,30,14.36,43.19,synth
200001115,2.02E+13,46.76,332.8,-22.5,3.707,3.691,34,30,19.02,57.19,synth
200001116,2.02E+13,55.35,346.9,-22.5,3.86,3.833,44,28,27.9,83.87,synth
200001117,2.02E+13,44.05,332.8,-22.5,3.706,3.69,29,28,18.96,56.99,synth
200001118,2.02E+13,88.46,358.6,-22.5,3.99,3.961,36,36,34.06,102.42,synth
200001119,2.02E+13,33.69,328.9,-22.5,3.661,3.65,38,28,13.05,39.25,synth
200001120,2.02E+13,17.14,323.9,-22.5,3.608,3.588,26,34,7.07,21.28,synth
200001121,2.02E+13,71.96,346.9,-22.5,3.86,3.833,36,30,27.9,83.87,synth
200001122,2.02E+13,22.15,327.5,-22.5,3.647,3.635,28,27,10.59,31.84,synth
200001123,2.02E+13,21.14,327.7,-22.5,3.648,3.635,37,35,10.71,32.21,synth
200001124,2.02E+13,37.02,334.7,-22.5,3.726,3.706,36,39,20.7,62.22,synth
200001125,2.02E+13,67.96,347.2,-22.5,3.865,3.837,31,39,28.08,84.43,synth
200001126,2.02E+13,61.74,346.4,-22.5,3.855,3.828,33,39,27.64,83.1,synth
200001127,2.02E+13,70.90,357.4,-22.5,3.976,3.947,30,36,33.42,100.48,synth
200001128,2.02E+13,85.14,353.3,-22.5,3.932,3.904,37,31,31.38,94.32,synth
200001129,2.02E+13,61.92,341.8,-22.5,3.805,3.778,35,27,25.07,75.37,synth
200001130,2.02E+13,65.62,356.9,-22.5,3.973,3.943,38,28,33.25,99.97,synth
200001131,2.02E+13,27.26,327.1,-22.5,3.643,3.629,28,25,9.87,29.68,synth
200001132,2.02E+13,33.19,333.8,-22.5,3.717,3.699,31,32,19.95,59.98,synth
200001133,2.02E+13,32.49,331.3,-22.5,3.688,3.673,36,39,16.83,50.61,synth
200001134,2.02E+13,28.09,329.9,-22.5,3.673,3.66,28,27,14.87,44.69,synth
200001135,2.02E+13,19.74,327.2,-22.5,3.645,3.632,32,31,10.16,30.54,synth
200001136,2.02E+13,26.67,328.2,-22.5,3.654,3.641,29,26,11.59,34.85,synth
200001137,2.02E+13,51.10,341.3,-22.5,3.799,3.771,40,29,24.77,74.47,synth
200001138,2.02E+13,27.05,328.2,-22.5,3.654,3.642,39,27,11.67,35.1,synth
200001139,2.02E+13,16.64,325.5,-22.5,3.626,3.608,28,36,8.07,24.26,synth
200001140,2.02E+13,86.99,357.4,-22.5,3.979,3.949,30,30,33.52,100.79,synth
200001141,2.02E+13,74.48,355.7,-22.5,3.958,3.93,41,33,32.6,98,synth
200001142,2.02E+13,12.87,324.7,-22.5,3.617,3.598,35,31,7.54,22.69,synth
200001143,2.02E+13,61.52,353.9,-22.5,3.939,3.91,37,34,31.68,95.24,synth
200001144,2.02E+13,19.49,326.7,-22.5,3.639,3.625,29,30,9.32,28.03,synth
200001145,2.02E+13,42.89,330.3,-22.5,3.678,3.665,33,36,15.53,46.7,synth
200001146,2.02E+13,62.68,350.3,-22.5,3.899,3.87,42,34,29.77,89.5,synth
200001147,2.02E+13,45.51,333.9,-22.5,3.717,3.7,41,31,19.99,60.1,synth
200001148,2.02E+13,18.84,324.4,-22.5,3.614,3.596,32,36,7.39,22.22,synth
200001149,2.02E+13,62.96,358.6,-22.5,3.99,3.961,34,28,34.06,102.42,synth
200001150,2.02E+13,23.60,327.4,-22.5,3.645,3.632,27,31,10.24,30.81,synth
200001151,2.02E+13,38.12,332.2,-22.5,3.699,3.684,41,34,18.15,54.56,synth
200001152,2.02E+13,57.72,348.3,-22.5,3.878,3.85,38,30,28.75,86.41,synth
200001153,2.02E+13,63.68,355.7,-22.5,3.958,3.93,37,36,32.6,98,synth
200001154,2.02E+13,66.13,341.1,-22.5,3.796,3.769,38,38,24.65,74.11,synth
200001155,2.02E+13,16.07,326.9,-22.5,3.64,3.626,30,29,9.53,28.65,synth
200001156,2.02E+13,67.63,346.6,-22.5,3.858,3.83,33,32,27.76,83.46,synth
200001157,2.02E+13,77.89,356.1,-22.5,3.964,3.936,30,38,32.89,98.86,synth
200001158,2.02E+13,52.43,333.5,-22.5,3.714,3.697,38,37,19.66,59.1,synth
200001159,2.02E+13,77.73,353.8,-22.5,3.938,3.909,35,32,31.61,95.02,synth
200001160,2.02E+13,33.89,328.9,-22.5,3.662,3.652,29,25,13.18,39.62,synth
200001161,2.02E+13,20.53,325.3,-22.5,3.624,3.607,38,32,7.97,23.97,synth
200001162,2.02E+13,50.36,335.8,-22.5,3.74,3.716,41,39,21.62,65,synth
200001163,2.02E+13,26.52,330.2,-22.5,3.676,3.663,34,36,15.17,45.61,synth
200001164,2.02E+13,44.73,330.8,-22.5,3.682,3.67,36,38,16.21,48.75,synth
200001165,2.02E+13,28.50,328.9,-22.5,3.661,3.649,35,33,12.88,38.74,synth
200001166,2.02E+13,29.05,329.1,-22.5,3.665,3.653,33,31,13.42,40.35,synth
200001167,2.02E+13,27.39,327.2,-22.5,3.644,3.631,29,25,10.06,30.25,synth
200001168,2.02E+13,56.98,352.2,-22.5,3.919,3.892,31,29,30.76,92.48,synth
200001169,2.02E+13,53.54,352.4,-22.5,3.922,3.894,35,30,30.9,92.89,synth
200001170,2.02E+13,21.72,328.3,-22.5,3.656,3.644,31,31,11.99,36.05,synth
200001171,2.02E+13,36.21,332.8,-22.5,3.706,3.689,39,30,18.89,56.79,synth
200001172,2.02E+13,80.86,358,-22.5,3.985,3.957,30,28,33.83,101.7,synth
200001173,2.02E+13,43.54,331,-22.5,3.686,3.671,36,37,16.49,49.57,synth
200001174,2.02E+13,64.75,346.3,-22.5,3.854,3.826,37,40,27.56,82.85,synth
200001175,2.02E+13,28.29,328.5,-22.5,3.657,3.645,32,29,12.16,36.57,synth
200001176,2.02E+13,24.46,329.2,-22.5,3.666,3.654,37,33,13.67,41.09,synth
200001177,2.02E+13,31.49,328.5,-22.5,3.656,3.646,39,35,12.14,36.51,synth
200001178,2.02E+13,91.30,357.1,-22.5,3.975,3.946,34,33,33.35,100.27,synth
200001179,2.02E+13,23.72,329.6,-22.5,3.668,3.657,32,27,14.14,42.51,synth
200001180,2.02E+13,46.93,342.2,-22.5,3.811,3.784,31,39,25.42,76.42,synth
200001181,2.02E+13,30.33,330.5,-22.5,3.681,3.666,28,27,15.84,47.61,synth
200001182,2.02E+13,51.56,333.6,-22.5,3.713,3.696,33,30,19.64,59.05,synth
200001183,2.02E+13,18.29,327.5,-22.5,3.648,3.635,34,36,10.65,32.04,synth
200001184,2.02E+13,31.25,331.3,-22.5,3.689,3.675,30,29,17,51.12,synth
200001185,2.02E+13,46.42,331.7,-22.5,3.694,3.679,35,35,17.67,53.12,synth
200001186,2.02E+13,21.61,327.1,-22.5,3.643,3.63,37,34,9.83,29.58,synth
200001187,2.02E+13,50.36,334.9,-22.5,3.729,3.709,28,27,20.93,62.92,synth
200001188,2.02E+13,77.31,354.1,-22.5,3.942,3.913,30,31,31.78,95.53,synth
200001189,2.02E+13,64.68,349.1,-22.5,3.885,3.858,30,37,29.11,87.52,synth
200001190,2.02E+13,62.68,352.4,-22.5,3.922,3.894,41,37,30.9,92.89,synth
200001191,2.02E+13,47.06,347.1,-22.5,3.863,3.835,41,34,28,84.17,synth
200001192,2.02E+13,18.71,326,-22.5,3.631,3.613,39,26,8.44,25.37,synth
200001193,2.02E+13,32.53,328.9,-22.5,3.661,3.65,36,29,12.93,38.89,synth
200001194,2.02E+13,54.29,343.6,-22.5,3.826,3.798,37,35,26.17,78.68,synth
200001195,2.02E+13,29.79,328.8,-22.5,3.66,3.647,30,31,12.75,38.33,synth
200001196,2.02E+13,40.26,338.8,-22.5,3.774,3.743,38,35,23.4,70.37,synth
200001197,2.02E+13,51.02,351.1,-22.5,3.908,3.88,33,33,30.2,90.82,synth
200001198,2.02E+13,46.28,331.3,-22.5,3.689,3.675,38,32,16.97,51.02,synth
200001199,2.02E+13,23.43,326.9,-22.5,3.64,3.625,34,31,9.41,28.3,synth
200001200,2.02E+13,19.67,326.1,-22.5,3.632,3.614,34,32,8.53,25.64,synth
200001201,2.02E+13,36.05,335.7,-22.5,3.738,3.715,31,32,21.51,64.67,synth
200001202,2.02E+13,45.21,334.4,-22.5,3.723,3.704,36,38,20.46,61.51,synth
200001203,2.02E+13,18.51,326.3,-22.5,3.633,3.615,29,35,8.61,25.89,synth
200001204,2.02E+13,72.46,350.7,-22.5,3.903,3.874,42,30,29.94,90.02,synth
200001205,2.02E+13,91.70,357.2,-22.5,3.975,3.946,36,39,33.39,100.39,synth
200001206,2.02E+13,40.19,330.7,-22.5,3.68,3.668,39,35,15.94,47.93,synth
200001207,2.02E+13,24.84,329.7,-22.5,3.67,3.658,28,37,14.46,43.46,synth
200001208,2.02E+13,90.54,357.1,-22.5,3.975,3.946,31,34,33.37,100.34,synth
200001209,2.02E+13,67.29,351.6,-22.5,3.913,3.885,36,38,30.44,91.50999,synth
200001210,2.02E+13,26.85,327.2,-22.5,3.642,3.629,29,29,9.82,29.53,synth
200001211,2.02E+13,52.71,347.5,-22.5,3.868,3.841,40,35,28.25,84.93,synth
200001212,2.02E+13,25.66,327.5,-22.5,3.648,3.635,35,34,10.65,32.01,synth
200001213,2.02E+13,61.27,339.9,-22.5,3.784,3.753,40,27,23.92,71.91,synth
200001214,2.02E+13,72.29,343.8,-22.5,3.827,3.799,36,41,26.22,78.83,synth
200001215,2.02E+13,75.11,350.2,-22.5,3.897,3.87,42,36,29.7,89.3,synth
200001216,2.02E+13,50.18,334.7,-22.5,3.728,3.708,40,32,20.84,62.66,synth
200001217,2.02E+13,15.88,326.6,-22.5,3.636,3.621,32,25,8.99,27.02,synth
200001218,2.02E+13,74.50,352.1,-22.5,3.919,3.89,43,39,30.71,92.32999,synth
200001219,2.02E+13,28.02,329.9,-22.5,3.672,3.659,35,36,14.64,44.03,synth
200001220,2.02E+13,22.24,326.6,-22.5,3.636,3.62,32,27,9.02,27.12,synth
200001221,2.02E+13,23.97,329.2,-22.5,3.666,3.654,28,29,13.67,41.09,synth
200001222,2.02E+13,46.95,331.6,-22.5,3.693,3.678,38,29,17.38,52.26,synth
200001223,2.02E+13,19.09,327.1,-22.5,3.642,3.628,27,25,9.71,29.21,synth
200001224,2.02E+13,71.16,348,-22.5,3.874,3.846,34,30,28.55,85.84,synth
